Address,Street,House_Nr,Post_Code,City
I live in  1 in 38272 Dolní Dvořiště,,1,38272,Dolní Dvořiště
I'm so excited! I got the flat in Hauptstraße 34 24806 Hohn.,Hauptstraße,34,24806,Hohn
I live in Schönseer Straße 47 in 92526 Oberviechtach,Schönseer Straße,47,92526,Oberviechtach
I recently moved to Brandscheid into the Mühlenweg. ,Mühlenweg,,,Brandscheid
"1156, København K, 23, Gråbrødrestræde",Gråbrødrestræde,23,1156,København K
Please find me at Virchowstraße 2 in the center of ,Virchowstraße,2,,
"Living in Alte Poststraße 2, 54492 Zeltingen-Rachtig.",Alte Poststraße,2,54492,Zeltingen-Rachtig
I am currently residing in 56370 .,,,56370,
"Living in Baičių 3-oji g 1, 95499 Lyveriai.",Baičių 3-oji g,1,95499,Lyveriai
I am currently residing in 44534 Lünen.,,,44534,Lünen
"I recently moved to the inner city of Nürnberg, but I cannot remember the exact address just yet.",,,,Nürnberg
I am registered at Eisenacher Haus 1 98634 Erbenhausen.,Eisenacher Haus,1,98634,Erbenhausen
", 8459,   ",,,8459,
I recently moved to Heilbad Heiligenstadt into the Dingelstädter Straße. ,Dingelstädter Straße,,,Heilbad Heiligenstadt
I reside at Cottbuser Straße  Lieberose.,Cottbuser Straße,,,Lieberose
I recently moved to Marktbergel into the Ansbacher Straße. ,Ansbacher Straße,,,Marktbergel
"Work inquiries go to Ernst-Thälmann-Platz 4, 19249 Lübtheen",Ernst-Thälmann-Platz,4,19249,Lübtheen
"Living in Freiburger Straße 32, 77749 Hohberg.",Freiburger Straße,32,77749,Hohberg
I reside at Hauptstraße 14 Schinkel.,Hauptstraße,14,,Schinkel
I live in Rabahnweg 1 in 19089 Crivitz,Rabahnweg,1,19089,Crivitz
"My address is Mühlenweg 4, 27333 Schweringen",Mühlenweg,4,27333,Schweringen
"Please send the package to  , 8428 ",,,8428,
"It's Black Avenue 4466, 94566 .",Black Avenue,4466,94566,
"My main address is Berliner Allee 14, 16833 Fehrbellin.",Berliner Allee,14,16833,Fehrbellin
"I am living in 160 Koblenzer Straße, 56727 Mayen.",Koblenzer Straße,160,56727,Mayen
"My main address is Alterkülzer Straße 2a, 55471 Neuerkirch.",Alterkülzer Straße,2a,55471,Neuerkirch
"I am living in  Südliche Ringstraße, 64390 .",Südliche Ringstraße,,64390,
"Living in Am Markt 3, 27389 Fintel.",Am Markt,3,27389,Fintel
"Please mail this to Sydney Road 488, 3058 ",Sydney Road,488,3058,
"King of Prussia, 19406, Henderson Road 850 ",Henderson Road,850,19406,King of Prussia
My new workplace is in the  of .,,,,
"My address is  , 29490 .",,,29490,
"Currently, my residence is Gleichen, 3 Am Kampe. ",Am Kampe,3,,Gleichen
I am living in 6528 now. Felt like a change of scenery was needed so I moved to Kossuth Lajos utca 4 there. ,Kossuth Lajos utca,4,6528,
"Living in Obere Mühlenstraße 10a, 17268 Templin.",Obere Mühlenstraße,10a,17268,Templin
I live in Schwalbacher Straße 7 in 56357 Strüth,Schwalbacher Straße,7,56357,Strüth
I live in Wittenberger Straße 76-80.,Wittenberger Straße,76-80,,
I live in Offenbacher Straße 69 in 63303 Dreieich,Offenbacher Straße,69,63303,Dreieich
I am living in 99192 now. Felt like a change of scenery was needed so I moved to Zur Alten Ziegelei 1 there. ,Zur Alten Ziegelei,1,99192,
"Work inquiries go to Lange Straße 86, 31558 Hagenburg",Lange Straße,86,31558,Hagenburg
"Please mail this to Kirchplatz 28, 6632 Ehrwald",Kirchplatz,28,6632,Ehrwald
My working address is Rabahnweg 1 19089 Crivitz,Rabahnweg,1,19089,Crivitz
Please find me at Dorfstraße 57 in the center of Mustin,Dorfstraße,57,,Mustin
"25379, Herzhorn, 10, Wilhelm-Ehlers-Straße",Wilhelm-Ehlers-Straße,10,25379,Herzhorn
"You can find me at my new place. It's at Jahnstraße 1, 67245 Lambsheim",Jahnstraße,1,67245,Lambsheim
"63303, Dreieich, 69, Offenbacher Straße",Offenbacher Straße,69,63303,Dreieich
I recently moved to Efland into the Mt Willing Road. ,Mt Willing Road,,,Efland
I live in Bünder Straße 102 in 32289 Rödinghausen,Bünder Straße,102,32289,Rödinghausen
"Work inquiries go to Wulf-Isebrand-Straße 1, 25764 Wesselburen",Wulf-Isebrand-Straße,1,25764,Wesselburen
My new workplace is in the Dorfstraße of Neetzow-Liepen.,Dorfstraße,,,Neetzow-Liepen
"My address is 28 Friedensstraße, 37318 Bornhagen.",Friedensstraße,28,37318,Bornhagen
"Wolf Power Close 7, 7985 Noordhoek, Cape Town",Wolf Power Close,7,7985,"Noordhoek, Cape Town"
I am registered at Urdenbacher Allee 5 40593 Düsseldorf.,Urdenbacher Allee,5,40593,Düsseldorf
I reside at Coburger Straße  Eisfeld.,Coburger Straße,,,Eisfeld
I live in Weimarische Straße 25 in 99439 Am Ettersberg,Weimarische Straße,25,99439,Am Ettersberg
"My address is 121 Aachener Straße, 52076 Aachen.",Aachener Straße,121,52076,Aachen
"My address is 16 Maarstraße, 54552 Schalkenmehren.",Maarstraße,16,54552,Schalkenmehren
"Molbergen, 49696, Pfarrer-Ferneding-Straße 2 ",Pfarrer-Ferneding-Straße,2,49696,Molbergen
"Currently, my residence is Meckesheim, 1 Friedrichstraße. ",Friedrichstraße,1,,Meckesheim
I recently moved to Heiligengrabe into the Dorfstraße. ,Dorfstraße,,,Heiligengrabe
"I am living in 30 Seestraße West, 88090 Immenstaad am Bodensee.",Seestraße West,30,88090,Immenstaad am Bodensee
"It's 3is Septemvriou , 54636 Thessaloniki.",3is Septemvriou,,54636,Thessaloniki
I'm so excited! I got the flat in Basaltstraße 10 92711 Parkstein.,Basaltstraße,10,92711,Parkstein
"My address is Brückenstraße 5, 87616 Marktoberdorf",Brückenstraße,5,87616,Marktoberdorf
"You can find me at my new place. It's at  , 99976 ",,,99976,
"Living in Hetzdorf 36, 17337 Uckerland.",Hetzdorf,36,17337,Uckerland
Please find me at Bleichstraße 45 in the center of Wiesbaden,Bleichstraße,45,,Wiesbaden
I am currently residing in 24794 Neu Duvenstedt.,,,24794,Neu Duvenstedt
"My address is 31 Hauptstraße, 97618 Unsleben.",Hauptstraße,31,97618,Unsleben
"Please mail this to Breiter Weg 4, 25785 Sarzbüttel",Breiter Weg,4,25785,Sarzbüttel
"It's West 55, 25578 Neuenbrook.",West,55,25578,Neuenbrook
"Heidesee, 15754, Mühlenstraße 1A ",Mühlenstraße,1A,15754,Heidesee
Please find me at Gladowshöher Straße 3 in the center of Garzau,Gladowshöher Straße,3,,Garzau
I recently moved to Höhenkirchen-Siegertsbrunn into the Rosenheimer Straße. ,Rosenheimer Straße,,,Höhenkirchen-Siegertsbrunn
"My mailing address is Bahnhofstraße 59, 59759, Arnsberg.",Bahnhofstraße,59,59759,Arnsberg
"1623, , , ",,,1623,
"My address is Hindelanger Straße 1, 87527 Sonthofen",Hindelanger Straße,1,87527,Sonthofen
I am registered at  3 92277 Hohenburg.,,3,92277,Hohenburg
I live in Hans-Böckler-Straße 23.,Hans-Böckler-Straße,23,,
"1936, Verbier, 10, Hameau de Clambin",Hameau de Clambin,10,1936,Verbier
"My address is Rapunzelstraße 1, 87764 Legau",Rapunzelstraße,1,87764,Legau
I live in Henderson Road 850.,Henderson Road,850,,
I am currently residing in 98673 Eisfeld.,,,98673,Eisfeld
"Send my post to Bargen (8233), Haafpüntstrasse 5.",Haafpüntstrasse,5,8233,Bargen
"Send my post to  (38704), Hauptstraße 11.",Hauptstraße,11,38704,
Please find me at West 6th Street 310 in the center of Concordia,West 6th Street,310,,Concordia
"Please send the package to Dorfstraße 29, 17111 Hohenmocker",Dorfstraße,29,17111,Hohenmocker
I reside at Poststraße 9 Genthin.,Poststraße,9,,Genthin
I reside at Frandergasse 12 Schliengen.,Frandergasse,12,,Schliengen
Please find me at Neues Dorf 6A in the center of Hodenhagen,Neues Dorf,6A,,Hodenhagen
I'm so excited! I got the flat in Steinstraße 2A 23845 Bühnsdorf.,Steinstraße,2A,23845,Bühnsdorf
"Currently, my residence is Crivitz, 1 Rabahnweg. ",Rabahnweg,1,,Crivitz
Cannot wait to finally work at Lettenstich 10.,Lettenstich,10,,
"It's Große Mühlenstraße 51, 24217 Schönberg Holstein.",Große Mühlenstraße,51,24217,Schönberg Holstein
"Living in Außerhalb 1, 55278 .",Außerhalb,1,55278,
My new workplace is in the Washington Street of Batac.,Washington Street,,,Batac
"My address is Hauptwieke 2, 26835 Neukamperfehn",Hauptwieke,2,26835,Neukamperfehn
"Please mail this to Pappelweg 23, 19243 Wittenburg",Pappelweg,23,19243,Wittenburg
"You can find me at my new place. It's at Kurmärker Straße 10, 19348 Perleberg",Kurmärker Straße,10,19348,Perleberg
"I moved to 74653 Künzelsau. In Rainlesberg 2, to be exact.",Rainlesberg,2,74653,Künzelsau
"It's Kurmärker Straße 10, 19348 Perleberg.",Kurmärker Straße,10,19348,Perleberg
"Please mail this to Neuenburgstrasse , 3238 Gals",Neuenburgstrasse,,3238,Gals
I live in Riemker Straße 13 in 44809 Bochum,Riemker Straße,13,44809,Bochum
"My main address is Güstrower Straße 18-20, 17213 Malchow.",Güstrower Straße,18-20,17213,Malchow
I live in Tulpenweg 5.,Tulpenweg,5,,
"Living in Litle Bataldenstr 2, 6917 Batalden.",Litle Bataldenstr,2,6917,Batalden
Cannot wait to finally work at Girlitzweg 30.,Girlitzweg,30,,
"Friedrich-Wilhelm-Raiffeisen-Straße 3, 17192 Waren Müritz",Friedrich-Wilhelm-Raiffeisen-Straße,3,17192,Waren Müritz
Cannot wait to finally work at Pappelweg 23.,Pappelweg,23,,
"Send my post to Kyllburg (54655), Mühlengasse 3.",Mühlengasse,3,54655,Kyllburg
"My address is 11 Buderusstraße, 35236 Breidenbach.",Buderusstraße,11,35236,Breidenbach
"You can find me at my new place. It's at Magdeburger Straße 16A, 39646 Oebisfelde-Weferlingen",Magdeburger Straße,16A,39646,Oebisfelde-Weferlingen
"Elsendorf, 84094, Hauptstraße 13 ",Hauptstraße,13,84094,Elsendorf
"Living in Kirchweg 2, 57577 Hamm Sieg.",Kirchweg,2,57577,Hamm Sieg
I am currently residing in 24811 Owschlag.,,,24811,Owschlag
Cannot wait to finally work at  .,,,,
"Bad Oldesloe, 23843, Konrad-Adenauer-Ring 2 ",Konrad-Adenauer-Ring,2,23843,Bad Oldesloe
"My address is Huttwilstrasse 108, 4932 Gutenburg",Huttwilstrasse,108,4932,Gutenburg
"Bautaveien 10B, 6507 Kristiansund N",Bautaveien,10B,6507,Kristiansund N
"I recently moved to the inner city of Mélykút, but I cannot remember the exact address just yet.",,,,Mélykút
Please find me at Hauptstraße 6 in the center of Seeshaupt,Hauptstraße,6,,Seeshaupt
"Reuterstraße 90, 25436 Uetersen",Reuterstraße,90,25436,Uetersen
"I am living in 1 Möllner Straße, 22946 Trittau.",Möllner Straße,1,22946,Trittau
Please find me at Werdohler Straße 2 in the center of Stavenhagen,Werdohler Straße,2,,Stavenhagen
"My mailing address is Halberstädter Straße 114, 39387, Oschersleben Bode.",Halberstädter Straße,114,39387,Oschersleben Bode
Please find me at Kossuth Lajos utca 68 in the center of Dunaszentbenedek,Kossuth Lajos utca,68,,Dunaszentbenedek
"I moved to 18320 Santa Fe. In Calle Ermita 3, to be exact.",Calle Ermita,3,18320,Santa Fe
"Vandans, 6773, Dorfstraße 35 ",Dorfstraße,35,6773,Vandans
"I moved to 54589 Stadtkyll. In Hauptstraße 16, to be exact.",Hauptstraße,16,54589,Stadtkyll
I am registered at Wilhelm-Pieck-Straße 40 99198 Udestedt.,Wilhelm-Pieck-Straße,40,99198,Udestedt
"Currently, my residence is Gunzgen, 19a Römerweg. ",Römerweg,19a,,Gunzgen
My working address is Chemin de la Carrière 2 1994 Aproz,Chemin de la Carrière,2,1994,Aproz
"Work inquiries go to Eschenweg 1, 83374 Traunreut",Eschenweg,1,83374,Traunreut
I am living in 15926 now. Felt like a change of scenery was needed so I moved to Am Markt 01 there. ,Am Markt,01,15926,
"Currently, my residence is Wolmirstedt, 16 Rosa-Luxemburg-Straße. ",Rosa-Luxemburg-Straße,16,,Wolmirstedt
"16928, Pritzwalk, 1, Postplatz",Postplatz,1,16928,Pritzwalk
"It's Binderøya 1, 7924 Austafjord.",Binderøya,1,7924,Austafjord
I live in Hammerthal 3.,Hammerthal,3,,
" , 69190 ",,,69190,
"You can find me at my new place. It's at Christopher Straße 16, 83544 Albaching",Christopher Straße,16,83544,Albaching
"My mailing address is Rothenburger Straße 35, 97215, Uffenheim.",Rothenburger Straße,35,97215,Uffenheim
"14547, Beelitz, , Straße am Bahnhof",Straße am Bahnhof,,14547,Beelitz
"Knysna, 6571, Waterfront Drive  ",Waterfront Drive,,6571,Knysna
I'm so excited! I got the flat in Feiosvegen 152 6895 Feios.,Feiosvegen,152,6895,Feios
I am living in 18347 now. Felt like a change of scenery was needed so I moved to Lindenstraße  there. ,Lindenstraße,,18347,
"Work inquiries go to Dingelstädter Straße 43, 37308 Heilbad Heiligenstadt",Dingelstädter Straße,43,37308,Heilbad Heiligenstadt
Cannot wait to finally work at Bahnhofstraße 1.,Bahnhofstraße,1,,
"Hery-Park 2900, 86368 Gersthofen",Hery-Park,2900,86368,Gersthofen
"I recently moved to the inner city of Gangelt, but I cannot remember the exact address just yet.",,,,Gangelt
"Living in Petőfi Sándor utca 53, 7937 Boldogasszonyfa.",Petőfi Sándor utca,53,7937,Boldogasszonyfa
Cannot wait to finally work at Frydendalsvej 1.,Frydendalsvej,1,,
I'm so excited! I got the flat in Kirchweg 4 53520 Nürburg.,Kirchweg,4,53520,Nürburg
I'm so excited! I got the flat in Albertstraße 38 4720 Kelmis.,Albertstraße,38,4720,Kelmis
"39291, Möckern, 3, Gewerbestraße",Gewerbestraße,3,39291,Möckern
"My address is 29 Dorfstraße, 17111 Hohenmocker.",Dorfstraße,29,17111,Hohenmocker
"Currently, my residence is Diesdorf, 5 Am Klingbusch. ",Am Klingbusch,5,,Diesdorf
I am currently residing in 26892 Dörpen.,,,26892,Dörpen
My working address is Kiefernweg 4 17454 Zinnowitz,Kiefernweg,4,17454,Zinnowitz
I am living in 77971 now. Felt like a change of scenery was needed so I moved to Johann-Peter-Hebel-Straße 2A there. ,Johann-Peter-Hebel-Straße,2A,77971,
"My address is 2A Altungstraße, 87452 Altusried.",Altungstraße,2A,87452,Altusried
"Please mail this to St-Georg-Straße , 76857 Gossersweiler-Stein",St-Georg-Straße,,76857,Gossersweiler-Stein
"My address is 37 Rhauderwieke, 26817 Rhauderfehn.",Rhauderwieke,37,26817,Rhauderfehn
"My mailing address is Berliner Straße 17-25, 21481, Lauenburg/Elbe.",Berliner Straße,17-25,21481,Lauenburg/Elbe
I am living in 84387 now. Felt like a change of scenery was needed so I moved to Hauptstraße 36 there. ,Hauptstraße,36,84387,
Please find me at  1 in the center of Ruppertshofen,,1,,Ruppertshofen
"Currently, my residence is ,  . ",,,,
"My address is 591 Bergisch Gladbacher Straße, 51067 Köln.",Bergisch Gladbacher Straße,591,51067,Köln
"Work inquiries go to Unteruhldinger Straße 1, 88709 Meersburg",Unteruhldinger Straße,1,88709,Meersburg
"76857, Gossersweiler-Stein, , St-Georg-Straße",St-Georg-Straße,,76857,Gossersweiler-Stein
I am living in 49219 now. Felt like a change of scenery was needed so I moved to Schulstraße 11b there. ,Schulstraße,11b,49219,
"I moved to 97258 Ippesheim. In  0, to be exact.",,0,97258,Ippesheim
I reside at Georgistraße 36 Burgheim.,Georgistraße,36,,Burgheim
"Currently, my residence is Trübbach,  . ",,,,Trübbach
"Please mail this to Hauptstraße 104, 56379 Holzappel",Hauptstraße,104,56379,Holzappel
I reside at N 5th Street 305 Bellevue.,N 5th Street,305,,Bellevue
Cannot wait to finally work at Fürstabt-Gerbert-Straße 2.,Fürstabt-Gerbert-Straße,2,,
"Currently, my residence is Selters Westerwald, 2 Schützstraße. ",Schützstraße,2,,Selters Westerwald
"Rüdigerstraße 9, 67166 Otterstadt",Rüdigerstraße,9,67166,Otterstadt
"Send my post to Hinojo (7318), Avenida Crotto .",Avenida Crotto,,7318,Hinojo
I recently moved to Husby into the Flensburger Straße. ,Flensburger Straße,,,Husby
My new workplace is in the Waldsassener Straße of Neualbenreuth.,Waldsassener Straße,,,Neualbenreuth
I am living in 31613 now. Felt like a change of scenery was needed so I moved to Bredenbecker Straße 148 there. ,Bredenbecker Straße,148,31613,
"Work inquiries go to Kapellenstraße 6A, 86558 Hohenwart",Kapellenstraße,6A,86558,Hohenwart
"99192, Nesse-Apfelstädt, 1, Zur Alten Ziegelei",Zur Alten Ziegelei,1,99192,Nesse-Apfelstädt
"You can find me at my new place. It's at Siemser Straße 29, 39649 Gardelegen",Siemser Straße,29,39649,Gardelegen
My new workplace is in the Kanalstraße of Wismar.,Kanalstraße,,,Wismar
I am living in 16833 now. Felt like a change of scenery was needed so I moved to Berliner Allee 14 there. ,Berliner Allee,14,16833,
My new workplace is in the Brenscheder Straße of Bochum.,Brenscheder Straße,,,Bochum
I live in Mannhardtstraße 8a in 25557 Hanerau-Hademarschen,Mannhardtstraße,8a,25557,Hanerau-Hademarschen
My new workplace is in the Merziger Straße of Dillingen/Saar.,Merziger Straße,,,Dillingen/Saar
"My main address is Hammerthal 3, 16259 Bad Freienwalde Oder.",Hammerthal,3,16259,Bad Freienwalde Oder
I recently moved to Bergen auf Rügen into the Markt. ,Markt,,,Bergen auf Rügen
"My mailing address is Ernst-Thälmann-Straße 55, 39517, Tangerhütte.",Ernst-Thälmann-Straße,55,39517,Tangerhütte
"Please mail this to Tetenhusener Chaussee 1, 24848 Kropp",Tetenhusener Chaussee,1,24848,Kropp
"Uckerland, 17337, Hetzdorf 36 ",Hetzdorf,36,17337,Uckerland
"My address is 4 Oberer Weißröck, 66871 Etschberg.",Oberer Weißröck,4,66871,Etschberg
"It's  1, 95659 Arzberg.",,1,95659,Arzberg
