"Text",STREET,HOUSENR,POSTCODE,CITY
"Flat CITY,POSTCODE STREET HOUSENR",STREET,HOUSENR,POSTCODE,CITY
"House CITY POSTCODE HOUSENR,STREET",STREET,HOUSENR,POSTCODE,CITY
"Workplace CITY,STREET POSTCODE HOUSENR",STREET,HOUSENR,POSTCODE,CITY
"Place of residence CITY STREET,HOUSENR,POSTCODE",STREET,HOUSENR,POSTCODE,CITY
"Mailing address CITY,HOUSENR POSTCODE STREET",STREET,HOUSENR,POSTCODE,CITY
"Working address CITY,HOUSENR,STREET,POSTCODE",STREET,HOUSENR,POSTCODE,CITY
"Company address POSTCODE CITY STREET HOUSENR",STREET,HOUSENR,POSTCODE,CITY
"Address POSTCODE,CITY,HOUSENR,STREET",STREET,HOUSENR,POSTCODE,CITY
"Work address POSTCODE STREET CITY,HOUSENR",STREET,HOUSENR,POSTCODE,CITY
"Postal address POSTCODE,STREET HOUSENR CITY",STREET,HOUSENR,POSTCODE,CITY
"Place of residence POSTCODE HOUSENR CITY,STREET",STREET,HOUSENR,POSTCODE,CITY
"Working address POSTCODE,HOUSENR STREET CITY",STREET,HOUSENR,POSTCODE,CITY
"Flat STREET CITY,POSTCODE,HOUSENR",STREET,HOUSENR,POSTCODE,CITY
"House STREET,CITY,HOUSENR,POSTCODE",STREET,HOUSENR,POSTCODE,CITY
"Workplace STREET POSTCODE CITY HOUSENR",STREET,HOUSENR,POSTCODE,CITY
"Company address STREET POSTCODE HOUSENR,CITY",STREET,HOUSENR,POSTCODE,CITY
"Address STREET,HOUSENR,CITY,POSTCODE",STREET,HOUSENR,POSTCODE,CITY
"House STREET HOUSENR POSTCODE CITY",STREET,HOUSENR,POSTCODE,CITY
"Workplace HOUSENR CITY POSTCODE,STREET",STREET,HOUSENR,POSTCODE,CITY
"Mailing address HOUSENR,CITY,STREET,POSTCODE",STREET,HOUSENR,POSTCODE,CITY
"Flat HOUSENR POSTCODE CITY STREET",STREET,HOUSENR,POSTCODE,CITY
"Work address HOUSENR POSTCODE STREET,CITY",STREET,HOUSENR,POSTCODE,CITY
"Place of residence HOUSENR,STREET CITY POSTCODE",STREET,HOUSENR,POSTCODE,CITY
"Place of residence HOUSENR STREET POSTCODE,CITY",STREET,HOUSENR,POSTCODE,CITY
"House CITY,POSTCODE,STREET",STREET,,POSTCODE,CITY
"Company address CITY,POSTCODE HOUSENR",,HOUSENR,POSTCODE,CITY
"Mailing address CITY STREET POSTCODE",STREET,,POSTCODE,CITY
"Flat CITY STREET HOUSENR",STREET,HOUSENR,,CITY
"Place of residence CITY,HOUSENR,POSTCODE",,HOUSENR,POSTCODE,CITY
"Postal address CITY,HOUSENR,STREET",STREET,HOUSENR,,CITY
"House POSTCODE CITY STREET",STREET,,POSTCODE,CITY
"Place of residence POSTCODE,CITY HOUSENR",,HOUSENR,POSTCODE,CITY
"Place of residence POSTCODE STREET,CITY",STREET,,POSTCODE,CITY
"Flat POSTCODE,STREET HOUSENR",STREET,HOUSENR,POSTCODE,
"Postal address POSTCODE HOUSENR,CITY",,HOUSENR,POSTCODE,CITY
"Working address POSTCODE,HOUSENR STREET",STREET,HOUSENR,POSTCODE,
"Company address STREET CITY,POSTCODE",STREET,,POSTCODE,CITY
"House STREET CITY,HOUSENR",STREET,HOUSENR,,CITY
"Place of residence STREET POSTCODE CITY",STREET,,POSTCODE,CITY
"Workplace STREET,POSTCODE HOUSENR",STREET,HOUSENR,POSTCODE,
"Work address STREET,HOUSENR,CITY",STREET,HOUSENR,,CITY
"Postal address STREET,HOUSENR POSTCODE",STREET,HOUSENR,POSTCODE,
"Flat HOUSENR CITY,POSTCODE",,HOUSENR,POSTCODE,CITY
"House HOUSENR,CITY,STREET",STREET,HOUSENR,,CITY
"Postal address HOUSENR POSTCODE,CITY",,HOUSENR,POSTCODE,CITY
"Work address HOUSENR,POSTCODE STREET",STREET,HOUSENR,POSTCODE,
"Working address HOUSENR,STREET,CITY",STREET,HOUSENR,,CITY
"Flat HOUSENR STREET,POSTCODE",STREET,HOUSENR,POSTCODE,
"Address CITY,POSTCODE",,,POSTCODE,CITY
"Workplace CITY STREET",STREET,,,CITY
"Mailing address CITY,HOUSENR",,HOUSENR,,CITY
"Postal address POSTCODE,CITY",,,POSTCODE,CITY
"House POSTCODE STREET",STREET,,POSTCODE,
"Place of residence POSTCODE HOUSENR",,HOUSENR,POSTCODE,
"Workplace STREET CITY",STREET,,,CITY
"Work address STREET,POSTCODE",STREET,,POSTCODE,
"Flat STREET,HOUSENR",STREET,HOUSENR,,
"House HOUSENR CITY",,HOUSENR,,CITY
"Address HOUSENR POSTCODE",,HOUSENR,POSTCODE,
"Working address HOUSENR STREET",STREET,HOUSENR,,